TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap
l88447,2010167,2011049,12.59,0.94,192.01
l88448,2010167,2013301,4.76,0.94,233.51
l88449,2010167,2013303,2.34,0.94,317.46
l88450,2010167,2013304,7.45,0.94,328.09
l88451,2010168,2010761,11.16,0.94,216.0
l88452,2010168,2013337,1.24,0.94,183.11
l88453,2010168,2013347,4.94,0.94,190.92
l88454,2010169,2010170,0.0,0.94,0.0
l88455,2010169,2010837,9.18,0.94,175.4
l88456,2010250,2010171,2.02,0.94,250.33
l88457,2010258,2010171,3.36,0.94,196.79
l88458,2010171,2010298,6.86,0.94,208.89
l88459,2010171,2010839,1.81,0.94,267.61
l88460,2010172,2010173,0.0,0.94,0.0
l88461,2010172,2010174,0.0,0.94,0.0
l88462,2010190,2010173,6.98,0.94,217.23
l88463,2010173,2010935,35.34,0.94,271.37
l88464,2010175,2010176,0.0,0.94,0.0
l88465,2010176,2010741,32.13,0.94,243.05
l88466,2010177,2013289,0.42,0.94,214.87
l88467,2010177,2013300,5.7,0.94,246.31
l88468,2013303,2010177,1.26,0.94,272.58
l88469,2010193,2010178,5.06,0.94,233.36
l88470,2010210,2010179,7.07,0.94,189.73
l88471,2010923,2010179,10.4,0.94,237.41
l88472,2010180,2010181,0.0,0.94,0.0
l88473,2010180,2010182,0.0,0.94,0.0
l88474,2010181,2010785,9.94,0.94,204.3
l88475,2011028,2010181,14.56,0.94,215.84
l88476,2010251,2010183,2.4,0.94,192.21
l88477,2010183,2010839,3.01,0.94,235.12
l88478,2010184,2010185,0.0,0.94,0.0
l88479,2010186,2010187,0.0,0.94,0.0
l88480,2010188,2010189,0.0,0.94,0.0
l88481,2010189,2010213,41.87,0.94,226.53
l88482,2010189,2010843,10.05,0.94,174.23
l88483,2010190,2010191,0.0,0.94,0.0
l88484,2010190,2010476,36.7,0.94,256.51
l88485,2010192,2010195,0.0,0.99,556.6
l88486,2010192,2010813,32.22,0.98,1215.9
l88487,2010192,2011001,134.79,0.98,1396.92
l88488,2010192,2013180,22.86,0.98,1182.41
l88489,2013302,2010192,17.33,0.98,1341.36
l88490,2010193,2010195,0.0,0.99,456.6
l88491,2010194,2010195,0.0,0.99,100.0
l88492,2010197,2010196,0.0,0.99,499.64
l88493,2010196,2010198,0.0,0.98,0.0
l88494,2010196,2010735,15.07,0.98,1224.4
l88495,2010838,2010196,18.52,0.98,1215.99
l88496,2010196,2010857,47.0,0.98,1224.13
l88497,2010200,2010207,3.98,0.94,207.09
l88498,2010200,2010251,1.49,0.94,243.71
l88499,2010280,2010201,17.09,0.94,194.09
l88500,2010888,2010201,14.48,0.94,233.17
l88501,2010238,2010202,3.56,0.94,221.12
l88502,2010202,2010761,9.86,0.94,236.99
l88503,2010203,2010204,0.0,0.94,0.0
l88504,2010218,2010203,10.91,0.94,225.99
l88505,2010248,2010203,14.71,0.94,230.26
l88506,2010205,2010206,0.0,0.94,0.0
l88507,2010205,2010226,1.84,0.94,203.06
l88508,2010205,2010365,10.36,0.94,235.4
l88509,2010207,2010220,2.11,0.94,201.79
l88510,2010208,2010839,8.15,0.94,220.1
l88511,2010224,2010209,9.57,0.94,236.08
l88512,2010209,2010290,3.74,0.94,203.02
l88513,2010212,2010210,5.61,0.94,203.4
l88514,2010211,2010212,0.0,0.94,0.0
l88515,2010785,2010212,3.94,0.94,240.36
l88516,2010213,2010214,0.0,0.94,0.0
l88517,2010693,2010213,20.0,0.94,223.19
l88518,2010213,2010863,8.09,0.94,249.12
l88519,2010215,2010216,5.88,0.94,254.06
l88520,2010894,2010215,21.74,0.94,250.76
l88521,2010216,2010217,0.0,0.94,0.0
l88522,2010216,2010222,11.76,0.94,214.35
l88523,2010785,2010216,4.86,0.94,275.02
l88524,2010218,2010235,15.54,0.94,211.45
l88525,2010248,2010218,4.81,0.94,194.39
l88526,2010219,2010220,0.0,0.94,0.0
l88527,2010286,2010221,1.46,0.94,224.79
l88528,2010221,2010295,11.8,0.94,252.74
l88529,2010365,2010221,3.54,0.94,298.73
l88530,2010222,2010223,0.0,0.94,0.0
l88531,2010222,2010888,39.82,0.94,221.33
l88532,2010224,2010225,0.0,0.94,0.0
l88533,2010224,2010837,5.57,0.94,254.38
l88534,2010226,2010247,2.59,0.94,197.96
l88535,2010235,2010227,10.61,0.94,201.11
l88536,2010319,2010228,3.07,0.94,222.9
l88537,2010228,2010383,4.35,0.94,255.14
l88538,2010229,2010284,3.34,0.94,234.23
l88539,2010229,2010374,2.65,0.94,208.28
l88540,2010365,2010230,3.24,0.94,178.77
l88541,2010230,2010736,3.14,0.94,231.05
l88542,2010231,2010251,21.49,0.94,269.59
l88543,2010231,2010736,7.36,0.94,278.29
l88544,2010231,2010736,7.36,0.94,278.29
l88545,2010298,2010232,2.55,0.94,237.87
l88546,2010364,2010232,5.8,0.94,264.24
l88547,2010233,2010234,0.0,0.94,0.0
l88548,2010233,2010242,5.71,0.94,188.65
l88549,2010233,2010309,1.39,0.94,226.47
l88550,2010315,2010233,1.29,0.94,205.35
l88551,2010235,2010236,0.0,0.94,0.0
l88552,2010238,2010237,3.7,0.94,187.93
l88553,2010237,2013350,6.0,0.94,209.4
l88554,2010239,2010240,0.0,0.94,0.0
l88555,2010284,2010240,1.19,0.94,184.59
l88556,2010240,2010306,5.85,0.94,222.27
l88557,2010260,2010241,1.54,0.94,190.4
l88558,2010241,2010322,3.35,0.94,216.88
l88559,2010242,2010243,0.0,0.94,0.0
l88560,2010270,2010242,2.82,0.94,229.88
l88561,2010244,2010246,0.96,0.94,213.28
l88562,2010777,2010244,7.6,0.94,246.44
l88563,2010245,2010246,0.0,0.94,0.0
l88564,2010246,2010894,7.58,0.94,238.67
l88565,2010247,2010367,2.62,0.94,247.88
l88566,2010247,2010843,41.02,0.94,271.29
l88567,2010249,2010291,1.33,0.94,192.75
l88568,2010315,2010249,2.42,0.94,222.2
l88569,2010321,2010249,4.2,0.94,175.98
l88570,2010251,2010258,8.17,0.94,188.91
l88571,2010252,2010253,0.0,0.94,0.0
l88572,2010253,2010314,3.97,0.94,213.67
l88573,2010253,2010415,6.26,0.94,237.0
l88574,2010254,2010255,0.0,0.94,0.0
l88575,2010313,2010255,2.83,0.94,197.88
l88576,2010255,2010374,3.8,0.94,198.63
l88577,2010256,2010257,0.0,0.94,0.0
l88578,2010256,2010258,0.0,0.94,0.0
l88579,2010373,2010259,3.58,0.94,205.47
l88580,2010259,2010839,13.25,0.94,209.97
l88581,2010318,2010260,1.74,0.94,221.51
l88582,2010261,2010262,0.0,0.94,0.0
l88583,2010261,2010270,9.32,0.94,234.19
l88584,2010261,2010272,1.27,0.94,179.66
l88585,2010777,2010263,1.31,0.94,195.36
l88586,2010263,2010795,10.83,0.94,225.99
l88587,2010264,2010265,0.0,0.94,0.0
l88588,2010264,2010266,0.0,0.94,0.0
l88589,2010319,2010265,2.17,0.94,180.99
l88590,2010265,2010323,1.43,0.94,223.06
l88591,2010378,2010267,16.41,0.94,248.14
l88592,2010267,2010814,18.35,0.94,258.79
l88593,2010268,2010269,0.0,0.94,0.0
l88594,2010326,2010268,1.27,0.94,212.27
l88595,2010268,2010341,3.41,0.94,219.74
l88596,2010268,2010368,3.55,0.94,224.03
l88597,2010401,2010268,2.31,0.94,165.81
l88598,2010270,2010271,0.0,0.94,0.0
l88599,2010270,2010409,10.18,0.94,275.36
l88600,2010270,2010409,10.18,0.94,275.36
l88601,2010272,2010334,11.8,0.94,249.79
l88602,2010273,2010291,2.16,0.94,235.4
l88603,2010334,2010273,0.67,0.94,264.84
l88604,2010329,2010274,2.12,0.94,231.76
l88605,2010274,2010408,5.2,0.94,246.0
l88606,2010276,2010275,0.0,0.99,614.72
l88607,2010276,2010275,0.0,0.99,614.72
l88608,2010276,2010275,0.0,0.99,614.72
l88609,2010275,2010330,27.57,0.98,1189.39
l88610,2010369,2010275,13.19,0.98,1199.54
l88611,2010427,2010275,8.91,0.98,1106.35
l88612,2010275,2010758,82.93,0.98,1303.32
l88613,2010276,2010308,2.51,0.94,250.53
l88614,2010357,2010276,1.65,0.94,286.52
l88615,2010357,2010276,1.65,0.94,286.52
l88616,2010357,2010276,1.65,0.94,286.52
l88617,2010276,2010386,0.91,0.94,258.9
l88618,2010403,2010276,1.91,0.94,269.72
l88619,2010276,2010489,12.17,0.94,242.43
l88620,2010325,2010277,4.77,0.94,231.69
l88621,2010386,2010277,5.82,0.94,239.04
l88622,2010388,2010277,3.42,0.94,214.02
l88623,2010278,2010279,0.0,0.94,0.0
l88624,2010278,2010280,0.0,0.94,0.0
l88625,2010278,2010281,0.0,0.94,0.0
l88626,2010278,2010282,0.0,0.94,0.0
l88627,2010457,2010280,18.88,0.94,196.81
l88628,2010280,2010785,21.8,0.94,159.86
l88629,2010283,2010284,0.0,0.94,0.0
l88630,2010284,2010331,12.09,0.94,256.9
l88631,2010422,2010285,2.73,0.94,180.38
l88632,2010285,2010424,9.46,0.94,235.43
l88633,2010454,2010285,2.85,0.94,223.7
l88634,2010286,2010287,14.95,0.94,250.61
l88635,2010361,2010286,0.54,0.94,300.0
l88636,2010286,2010736,6.89,0.94,293.02
l88637,2010286,2010736,6.89,0.94,293.02
l88638,2010286,2010736,6.89,0.94,293.02
l88639,2010287,2010288,0.0,0.94,0.0
l88640,2010287,2010297,7.19,0.94,219.89
l88641,2010289,2010345,3.66,0.94,210.64
l88642,2010289,2010837,11.08,0.94,233.49
l88643,2010361,2010290,4.09,0.94,228.59
l88644,2010291,2010292,0.0,0.94,0.0
l88645,2010293,2010416,5.7,0.94,196.42
l88646,2010293,2010475,22.18,0.94,219.06
l88647,2010294,2010295,0.0,0.94,0.0
l88648,2010364,2010295,1.36,0.94,219.16
l88649,2010296,2010297,0.0,0.94,0.0
l88650,2010297,2010373,2.04,0.94,213.39
l88651,2010297,2010417,3.27,0.94,226.81
l88652,2010298,2010299,0.0,0.94,0.0
l88653,2010300,2010301,0.0,0.94,0.0
l88654,2010380,2010300,5.97,0.94,205.95
l88655,2010397,2010300,15.93,0.94,183.06
l88656,2010302,2010303,0.0,0.94,0.0
l88657,2010302,2010304,0.0,0.94,0.0
l88658,2010302,2010305,0.0,0.94,0.0
l88659,2010303,2010356,1.08,0.94,260.0
l88660,2010303,2010403,4.19,0.94,257.81
l88661,2010303,2010467,5.76,0.94,256.77
l88662,2010306,2010317,5.7,0.94,257.55
l88663,2010307,2010308,0.0,0.94,0.0
l88664,2010308,2010356,6.54,0.94,221.36
l88665,2010318,2010309,2.57,0.94,280.86
l88666,2010318,2010309,2.57,0.94,280.86
l88667,2010309,2010323,3.65,0.94,266.32
l88668,2010310,2010326,5.78,0.94,166.03
l88669,2010375,2010310,2.23,0.94,218.27
l88670,2010311,2010312,0.0,0.94,0.0
l88671,2010311,2010313,0.0,0.94,0.0
l88672,2010313,2010362,8.06,0.94,231.94
l88673,2010314,2010418,8.39,0.94,183.16
l88674,2010315,2010467,13.46,0.94,237.1
l88675,2010316,2010317,0.0,0.94,0.0
l88676,2010331,2010317,0.59,0.94,274.18
l88677,2010409,2010318,3.05,0.94,287.44
l88678,2010409,2010318,3.05,0.94,287.44
l88679,2010409,2010318,3.05,0.94,287.44
l88680,2010319,2010320,0.0,0.94,0.0
l88681,2010323,2010321,2.19,0.94,211.07
l88682,2010322,2010331,2.2,0.94,265.31
l88683,2010324,2010325,0.0,0.94,0.0
l88684,2010327,2010328,0.0,0.94,0.0
l88685,2010327,2010329,0.0,0.94,0.0
l88686,2010329,2010338,3.49,0.94,176.01
l88687,2010331,2010330,0.0,0.99,594.3
l88688,2010331,2010330,0.0,0.99,594.3
l88689,2010331,2010330,0.0,0.99,594.3
l88690,2010330,2010332,0.0,0.98,0.0
l88691,2010353,2010330,12.23,0.98,1192.38
l88692,2010468,2010330,13.92,0.98,1204.83
l88693,2010383,2010331,1.48,0.94,285.46
l88694,2010383,2010331,1.48,0.94,285.46
l88695,2010383,2010331,1.48,0.94,285.46
l88696,2010334,2010333,0.0,0.99,509.39
l88697,2010333,2010427,12.51,0.98,1137.85
l88698,2010459,2010333,10.85,0.98,1110.9
l88699,2010334,2010337,0.0,0.99,108.3
l88700,2010334,2010339,10.15,0.94,207.73
l88701,2010335,2010337,0.0,0.99,54.2
l88702,2010336,2010337,0.0,0.99,54.2
l88703,2010338,2010431,2.48,0.94,242.22
l88704,2010446,2010338,6.2,0.94,266.69
l88705,2010339,2010401,5.98,0.94,238.41
l88706,2010340,2010341,0.0,0.94,0.0
l88707,2010340,2010342,0.0,0.94,0.0
l88708,2010357,2010341,5.96,0.94,247.72
l88709,2010343,2010344,0.0,0.94,0.0
l88710,2010343,2010345,0.0,0.94,0.0
l88711,2010345,2010435,17.33,0.94,235.04
l88712,2010346,2010349,0.0,0.99,589.8
l88713,2010346,2010353,0.0,0.98,0.0
l88714,2010347,2010349,0.0,0.99,467.6
l88715,2010347,2010352,0.0,0.99,108.3
l88716,2010347,2010422,5.72,0.94,223.13
l88717,2010347,2010436,0.48,0.94,245.79
l88718,2010348,2010349,0.0,0.99,122.1
l88719,2010350,2010352,0.0,0.99,54.1
l88720,2010351,2010352,0.0,0.99,54.1
l88721,2010414,2010353,18.56,0.98,1237.11
l88722,2010353,2010468,11.86,0.98,1118.63
l88723,2010354,2010452,6.34,0.94,210.0
l88724,2010354,2010461,3.49,0.94,219.79
l88725,2010391,2010355,3.68,0.94,201.85
l88726,2010355,2010454,1.3,0.94,213.37
l88727,2010411,2010356,3.74,0.94,400.0
l88728,2010357,2010360,0.0,0.99,231.6
l88729,2010357,2010368,3.22,0.94,253.22
l88730,2010357,2010401,6.72,0.94,255.16
l88731,2010357,2010473,14.3,0.94,226.1
l88732,2010358,2010360,0.0,0.99,115.8
l88733,2010359,2010360,0.0,0.99,115.8
l88734,2010361,2010364,11.38,0.94,241.83
l88735,2010415,2010362,1.03,0.94,251.79
l88736,2010363,2010364,0.0,0.94,0.0
l88737,2010367,2010364,3.36,0.94,220.13
l88738,2010365,2010366,0.0,0.94,0.0
l88739,2010736,2010365,2.72,0.94,277.36
l88740,2010736,2010365,2.72,0.94,277.36
l88741,2010370,2010369,0.0,0.99,552.87
l88742,2010728,2010369,28.41,0.98,1145.78
l88743,2010369,2010893,55.19,0.98,1319.14
l88744,2010398,2010370,3.85,0.94,261.64
l88745,2010370,2010439,2.52,0.94,234.09
l88746,2010473,2010370,6.02,0.94,248.06
l88747,2010371,2010372,0.0,0.94,0.0
l88748,2010371,2010373,0.0,0.94,0.0
l88749,2010373,2010415,1.74,0.94,211.47
l88750,2010374,2010407,8.5,0.94,212.97
l88751,2010375,2010376,0.0,0.94,0.0
l88752,2010409,2010375,4.94,0.94,213.52
l88753,2010375,2010447,9.56,0.94,240.0
l88754,2010377,2010406,3.71,0.94,159.62
l88755,2010377,2010464,1.81,0.94,233.6
l88756,2010378,2010379,0.0,0.94,0.0
l88757,2013359,2010378,12.0,0.94,213.38
l88758,2010380,2010471,23.66,0.94,189.03
l88759,2010381,2010382,0.0,0.94,0.0
l88760,2010439,2010382,1.86,0.94,212.28
l88761,2010441,2010382,3.88,0.94,174.7
l88762,2010383,2010384,0.0,0.94,0.0
l88763,2010383,2010436,11.37,0.94,288.47
l88764,2010385,2010386,0.0,0.94,0.0
l88765,2010387,2010388,0.0,0.94,0.0
l88766,2010387,2010389,0.0,0.94,0.0
l88767,2010398,2010388,7.79,0.94,243.35
l88768,2010390,2010449,9.3,0.94,188.23
l88769,2010390,2010463,12.63,0.94,214.33
l88770,2010391,2010392,0.0,0.94,0.0
l88771,2010410,2010391,2.61,0.94,199.13
l88772,2010391,2010465,12.04,0.94,210.8
l88773,2010415,2010393,0.99,0.94,270.32
l88774,2010416,2010393,1.77,0.94,240.0
l88775,2010449,2010394,3.46,0.94,267.11
l88776,2010394,2010461,13.9,0.94,251.44
l88777,2010395,2010420,9.66,0.94,229.47
l88778,2010395,2010428,1.41,0.94,270.74
l88779,2010396,2010409,2.42,0.94,293.55
l88780,2010396,2010409,2.42,0.94,293.55
l88781,2010396,2010409,2.42,0.94,293.55
l88782,2010396,2010409,2.42,0.94,293.55
